pair_idx,gamma_n,gamma_n1,g,t0,far,S_on,h_thr,r,H,H_over_halfgap,n_sign_changes
191496,8436203246.909148216248,8436203246.953009605408,4.386138916016e-02,8436203246.931078910828,26.1679986023,4184.5580416754,2.1862015596e-02,0.9968683626,0.2764583705,12.6060015787,0
191655,8436203294.261846542358,8436203294.297921180725,3.607463836670e-02,8436203294.279884338379,22.3387267243,6169.6614679901,1.8004635370e-02,0.9981879894,0.2992166733,16.5887552518,0
191687,8436203303.777452468872,8436203303.821832656860,4.438018798828e-02,8436203303.799642562866,17.5367534530,4079.2729381918,2.2142345125e-02,0.9978481899,0.3377072619,15.2188297192,0
191754,8436203323.813223838806,8436203323.847733497620,3.450965881348e-02,8436203323.830478668213,23.8096286558,6741.3247983324,1.7224331360e-02,0.9982324921,0.2898268968,16.7968566921,0
192069,8436203418.184417724609,8436203418.228809356689,4.439163208008e-02,8436203418.206613540649,28.9306899188,4088.5729264079,2.2117147974e-02,0.9964557254,0.2629272521,11.8458024539,0
192193,8436203455.120934486389,8436203455.154011726379,3.307723999023e-02,8436203455.137473106384,22.5170247694,7334.4374848972,1.6513213358e-02,0.9984637995,0.2980296653,18.0202257129,0
192225,8436203464.824376106262,8436203464.844944953918,2.056884765625e-02,8436203464.834660530090,18.6004833881,18927.6658797551,1.0279369262e-02,0.9995085222,0.3279086570,31.8840085215,0
192742,8436203619.200621604919,8436203619.243786811829,4.316520690918e-02,8436203619.222204208374,18.7349858107,4312.3424074492,2.1535669577e-02,0.9978253839,0.3267294740,15.1385570640,0
192806,8436203638.331614494324,8436203638.367194175720,3.557968139648e-02,8436203638.349404335022,33.1924591020,6352.7384291888,1.7743304712e-02,0.9973841258,0.2454682257,13.7982250575,0
193069,8436203716.960409164429,8436203716.981719017029,2.130985260010e-02,8436203716.971063613892,25.7805992316,17642.6646342204,1.0647138621e-02,0.9992691007,0.2785277648,26.1407500152,0
193096,8436203724.758959770203,8436203724.786100387573,2.714061737061e-02,8436203724.772529602051,31.6348562046,10892.1529188572,1.3550587748e-02,0.9985467584,0.2514386669,18.5285886085,0
193223,8436203763.147235870361,8436203763.177825927734,3.059005737305e-02,8436203763.162530899048,25.2479246133,8574.5252261636,1.5272493770e-02,0.9985266509,0.2814505848,18.4014421030,0
193240,8436203767.970888137817,8436203767.992179870605,2.129173278809e-02,8436203767.981534004211,30.9825597919,17677.8641962021,1.0636533229e-02,0.9991233062,0.2540717328,23.8657638020,0
193262,8436203774.683333396912,8436203774.717314720154,3.398132324219e-02,8436203774.700324058533,27.8580570478,6955.8825464701,1.6956603996e-02,0.9979955092,0.2679412543,15.7699129267,0
193300,8436203785.961700439453,8436203785.998885154724,3.718471527100e-02,8436203785.980293273926,35.5503066478,5821.3189872359,1.8535499712e-02,0.9969418659,0.2371883327,12.7573026152,0
193413,8436203819.827105522156,8436203819.862185478210,3.507995605469e-02,8436203819.844645500183,16.7411580727,6517.6175093656,1.7517436942e-02,0.9987148738,0.3456386095,19.7057606882,0
193510,8436203848.803768157959,8436203848.840104103088,3.633594512939e-02,8436203848.821935653687,23.1236080814,6082.3484020822,1.8133404574e-02,0.9980973116,0.2940946999,16.1875354480,0
193795,8436203934.130640983582,8436203934.167935371399,3.729438781738e-02,8436203934.149288177490,26.5198233926,5778.3098269077,1.8604353613e-02,0.9977025875,0.2746184326,14.7270647763,0
193967,8436203985.334171295166,8436203985.377092361450,4.292106628418e-02,8436203985.355631828308,27.4321859495,4370.0237249340,2.1393069420e-02,0.9968563818,0.2700130719,12.5818436173,0
194111,8436204028.369983673096,8436204028.412225723267,4.224205017090e-02,8436204028.391104698181,30.4649257352,4513.7877427778,2.1049628302e-02,0.9966196346,0.2562211263,12.1310933190,0
194143,8436204037.951967239380,8436204037.979548454285,2.758121490479e-02,8436204037.965757369995,20.4476537760,10536.7533644901,1.3777219908e-02,0.9990292274,0.3127470748,22.6782667766,0
194630,8436204183.480293273926,8436204183.513198852539,3.290557861328e-02,8436204183.496746063232,21.4801146101,7409.8890229358,1.6428924962e-02,0.9985495259,0.3051382848,18.5462950449,0
194945,8436204277.685070991516,8436204277.722632408142,3.756141662598e-02,8436204277.703851699829,27.2214084426,5697.5217164439,1.8735789710e-02,0.9976082583,0.2710564224,14.4327049788,0
195103,8436204324.999583244324,8436204325.020837783813,2.125453948975e-02,8436204325.010210037231,47.6681477140,17756.3643440843,1.0612995350e-02,0.9986568145,0.2048334404,19.2743240136,0
195312,8436204387.456087112427,8436204387.488438606262,3.235149383545e-02,8436204387.472263336182,24.4294286324,7668.0885133390,1.6149959559e-02,0.9984058011,0.2861266717,17.6886219311,0
196347,8436204696.897561073303,8436204696.938389778137,4.082870483398e-02,8436204696.917975425720,45.7039538100,4844.7926881925,2.0317833582e-02,0.9952720109,0.2091886474,10.2471360885,0
196425,8436204720.012349128723,8436204720.048509597778,3.616046905518e-02,8436204720.030429840088,34.7957533375,6152.9704904177,1.8029039147e-02,0.9971684338,0.2397462794,13.2601310567,0
196779,8436204825.983348846436,8436204826.026206970215,4.285812377930e-02,8436204826.004777908325,23.0613030957,4378.4174839858,2.1372553513e-02,0.9973630028,0.2944917114,13.7426319900,0
197011,8436204895.472713470459,8436204895.516203880310,4.349040985107e-02,8436204895.494459152222,22.1451815456,4251.7811059417,2.1688501609e-02,0.9973923761,0.3005213806,13.8201217989,0
